"","pathway","pval","padj","ES","NES","nMoreExtreme","size","logpadj"
"16","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.227726691431703,0.392697762002366,0.36456629961957,1.16237440622983,7478,30,0.405941573781256
"17","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.650019095743118,0.746425705259094,0.283297258018555,0.878985786071571,22125,27,0.127013412857547
"18","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.288472183780792,0.471541069641679,0.315536663841278,1.0946552536823,8337,42,0.326480475690194
"19","KEGG_LYSINE_DEGRADATION",0.0214127084092943,0.0791339223821746,0.452202075318341,1.53111325162793,645,38,1.10163730733307
"20","KEGG_ARGININE_AND_PROLINE_METABOLISM",0.240476009428941,0.400793349048235,0.30804418352312,1.12262327393727,6324,52,0.397079493966203
"21","KEGG_HISTIDINE_METABOLISM",0.186012164715971,0.33640497874165,-0.492935585267146,-1.25324398505077,11712,21,-0.473137585335406
"22","KEGG_TYROSINE_METABOLISM",0.0233622916177506,0.0794317915003522,-0.552930545671719,-1.5393885065219,1591,33,-1.10000564228577
"23","KEGG_PHENYLALANINE_METABOLISM",0.0993350997350397,0.222196933617852,-0.578125593847382,-1.38572928776092,5960,16,-0.653261938743645
"24","KEGG_TRYPTOPHAN_METABOLISM",0.00297856883399927,0.0219971555793663,-0.61241286693595,-1.72407848876747,204,35,-1.65763347354372
"25","KEGG_BETA_ALANINE_METABOLISM",0.421940265695173,0.584750024989846,-0.402672533482299,-1.03447938131134,26869,22,-0.233029750958823
"26","KEGG_GLUTATHIONE_METABOLISM",0.470239492838695,0.588975254952229,-0.35798391005091,-0.996646542618975,32043,33,-0.229902951161033
"27","KEGG_STARCH_AND_SUCROSE_METABOLISM",0.909123558256786,0.954018548787985,-0.234766507965544,-0.69695013094951,65815,47,-0.0204431813148196
"28","KEGG_O_GLYCAN_BIOSYNTHESIS",0.640923234105791,0.746280478068387,-0.334140891101987,-0.873931962661024,41402,24,-0.12709791892907
"29","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.150063051702396,0.28989453169781,-0.433383018065795,-1.26713955834292,10709,43,-0.537759976696968
"30","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.0142013160633375,0.0586872300731501,-0.649426927127318,-1.63532818658111,886,20,-1.23145638788521
"31","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.322478895559687,0.49837647495588,-0.418436375802392,-1.11328061052527,21162,26,-0.302442466023802
"32","KEGG_GLYCEROLIPID_METABOLISM",0.521616998790171,0.624471054889642,-0.326804757117288,-0.963214262328096,37509,45,-0.204487686982459
"33","KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.467662436686455,0.588975254952229,-0.331740274385663,-0.998408797440265,34346,51,-0.229902951161033
"34","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.00106142286528309,0.0100245492832292,0.629464168523024,1.87068834600381,37,23,1.99893514471345
"35","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.566109734607078,0.668323992244467,-0.304114460752863,-0.938098802779057,42725,59,-0.175012947805905
"36","KEGG_ETHER_LIPID_METABOLISM",0.0110169749794289,0.0550848748971444,-0.614846557246631,-1.63584427696637,722,26,-1.25896763255372
"37","KEGG_ARACHIDONIC_ACID_METABOLISM",1.3615816132019e-05,0.000587057117204227,-0.664694589820493,-2.00047138478043,0,51,-3.23131964239829
"38","KEGG_LINOLEIC_ACID_METABOLISM",0.0661932770548258,0.16260986680834,-0.537040860352402,-1.42883652441462,4343,26,-0.788853105910412
"39","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.0654401839724041,0.16260986680834,-0.606946501741398,-1.45481112152444,3926,16,-0.788853105910412
"40","KEGG_SPHINGOLIPID_METABOLISM",0.48134477254589,0.588975254952229,-0.344068818062757,-0.988669061549916,33774,39,-0.229902951161033
"41","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.830766159374664,0.89820808862787,-0.279187599142228,-0.736401192475438,54096,25,-0.0466230383062222
"42","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.0129983688980814,0.0581505977019429,-0.699431527447972,-1.65350723401741,772,15,-1.23544581700911
"43","KEGG_PYRUVATE_METABOLISM",0.025224568265438,0.082464934713932,0.446025010059016,1.51019829570238,760,38,1.08373068051081
"44","KEGG_PROPANOATE_METABOLISM",0.0532245295657999,0.145938226228806,0.449726479819014,1.43389707301788,1747,30,0.835830936579467
"45","KEGG_BUTANOATE_METABOLISM",0.0308709006856753,0.090483674423531,0.464802818664604,1.50792070191571,994,32,1.0434297715943
"46","KEGG_ONE_CARBON_POOL_BY_FOLATE",0.00575100642612457,0.034916824730042,0.650416395553969,1.7399106134032,229,16,1.45696525708907
"47","KEGG_RIBOFLAVIN_METABOLISM",0.697345398190271,0.779925774291751,-0.344929977093079,-0.82677462574121,41846,16,-0.107946727244653
"48","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.15755371690832,0.297601465271271,-0.506492617946059,-1.28771151015504,9920,21,-0.526364934827567
"49","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0.230682064357013,0.392697762002366,-0.505299015836455,-1.21116873698934,13842,16,-0.405941573781256
"50","KEGG_RETINOL_METABOLISM",0.838829584445292,0.89820808862787,-0.252186673548124,-0.758983496754848,61606,51,-0.0466230383062222
"51","KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0.45421381774866,0.588975254952229,-0.368948684004542,-1.00934246094528,30504,30,-0.229902951161033
"52","KEGG_NITROGEN_METABOLISM",0.434289544984777,0.585946211487398,0.338253415013906,1.00524660990193,15547,23,0.232142249385288
"53","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.132748457847841,0.26240974225736,-0.428479943265901,-1.28095186788888,9683,49,-0.581020045325069
"54","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.173107092725621,0.319871801775605,-0.414806820087704,-1.23582725148757,12578,48,-0.495024043357671
"55","KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.426523547639653,0.584750024989846,-0.349991360259451,-1.02741851152105,30556,44,-0.233029750958823
"56","KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.472362487511139,0.588975254952229,0.338409084856506,0.981413316437667,17492,21,0.229902951161033
"57","KEGG_ABC_TRANSPORTERS",0.372206040404355,0.536229041260512,-0.413338778267067,-1.07245878775063,23895,23,-0.270649669059505
"58","KEGG_PPAR_SIGNALING_PATHWAY",0.122778787332325,0.248480879124944,-0.438524460056096,-1.29687877712402,8850,46,-0.604707025079632
"59","KEGG_CALCIUM_SIGNALING_PATHWAY",0.00175293581119599,0.0148999543951659,-0.612406676910896,-1.75972800429117,122,39,-1.82681506084666
"60","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.0123870475948483,0.0581505977019429,-0.646500031078435,-1.64366765050059,779,21,-1.23544581700911
"61","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.0763823064770932,0.180347112515359,-0.4338148789423,-1.34775181700366,5801,62,-0.743890806651329
"62","KEGG_LYSOSOME",1.38131086400995e-05,0.000587057117204227,-0.66274499012888,-1.96748766107748,0,47,-3.23131964239829
"63","KEGG_PEROXISOME",0.981699794379712,0.995868549671914,-0.200279927288844,-0.59874202046859,71614,49,-0.00179798278077962
"64","KEGG_CARDIAC_MUSCLE_CONTRACTION",0.102408618178123,0.223198270388216,0.377124021364111,1.29229658817057,3022,40,0.65130917516351
"65","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.00336427085331484,0.0219971555793663,-0.621397638136101,-1.71970921101826,227,32,-1.65763347354372
"66","KEGG_VEGF_SIGNALING_PATHWAY",0.000439640404469172,0.00467117929748495,-0.699732011437235,-1.87443895428395,28,27,-2.33057346253155
"67","KEGG_GAP_JUNCTION",0.0197970304454332,0.0764885267209919,-0.671366629363079,-1.60922195978639,1187,16,-1.11640370413334
"68","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.000309602315825322,0.00375945669216463,-0.730530139348998,-1.91067198138715,19,24,-2.42487491375423
"69","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.00715552658308446,0.0380137349726362,-0.623964166316665,-1.67147239272213,471,27,-1.4200594574604
"70","KEGG_LONG_TERM_DEPRESSION",0.0144991980180724,0.0586872300731501,-0.639837073629538,-1.62672768593919,912,21,-1.23145638788521
"71","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.0610575080404606,0.162184005732473,-0.611521807658512,-1.46577783096835,3663,16,-0.789991977280405
"72","KEGG_INSULIN_SIGNALING_PATHWAY",0.0289947027489634,0.0880196333450675,-0.549513748125463,-1.52077155791434,1964,32,-1.05542044486812
"73","KEGG_GNRH_SIGNALING_PATHWAY",0.0270941521788214,0.0852964050074007,-0.569504775181843,-1.53709835323353,1799,28,-1.06906927268183
"74","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.00683404420317953,0.0380137349726362,-0.685940032484836,-1.70784937074375,422,19,-1.4200594574604
"75","KEGG_MELANOGENESIS",0.0822210001833058,0.188886081502189,-0.591216124002539,-1.41710643352539,4933,16,-0.72380004286959
"76","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.230998683530804,0.392697762002366,-0.505094577428805,-1.21067871147925,13861,16,-0.405941573781256
"77","KEGG_TYPE_II_DIABETES_MELLITUS",0.0346917932329589,0.0982934141600501,-0.63440374057363,-1.54107865981915,2105,17,-1.00747557972398
"78","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.107881516278463,0.226378030789535,-0.555345445944669,-1.36601969816604,6613,18,-0.645165722226822
"79","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.845372318708583,0.89820808862787,-0.280008306258324,-0.719350825632809,53834,22,-0.0466230383062222
"80","KEGG_ALZHEIMERS_DISEASE",5.19588485919152e-05,0.000919714347543822,0.530736309204834,2.14263979907379,0,88,3.03634703846839
"81","KEGG_PARKINSONS_DISEASE",5.4100843973166e-05,0.000919714347543822,0.558030925061269,2.28004089075264,0,94,3.03634703846839
"82","KEGG_HUNTINGTONS_DISEASE",5.32226302623876e-05,0.000919714347543822,0.512042987889688,2.07957879441352,0,91,3.03634703846839
"83","KEGG_VIBRIO_CHOLERAE_INFECTION",0.390005268307368,0.552507463435438,-0.391825338764016,-1.05754000530906,25909,28,-0.257661851023966
"84","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.441430981903745,0.586275522840911,-0.389036273905576,-1.01750861224841,28515,24,-0.231898237346894
"85","KEGG_PATHWAYS_IN_CANCER",0.0669570039799047,0.16260986680834,-0.588522232903855,-1.44762682187445,4104,18,-0.788853105910412
